Year	Vehicle Category	Registrations	Annual Fee
2007	Automobile	1569800	150448597
2007	Bus	2401	277590
2007	Moped	15188	106291
2007	Motor Home	23164	3133775
2007	Motorcycle	153273	2006910
2007	Multi-purpose	722232	119747953
2007	Trailer	669463	8285230
2007	Truck	927357	86882278
2008	Automobile	1556923	149468147
2008	Bus	2743	336115
2008	Moped	16510	115566
2008	Motor Home	22407	3045675
2008	Motorcycle	162662	2108905
2008	Multi-purpose	752769	123261001
2008	Trailer	685850	8577059
2008	Truck	936006	89279176
2009	Automobile	1524637	165486457
2009	Bus	2915	396779
2009	Moped	16857	118001
2009	Motor Home	21883	2998977
2009	Motorcycle	167402	2147248
2009	Multi-purpose	774250	139457123
2009	Trailer	694996	15495607
2009	Truck	930217	97002406
2010	Automobile	1491784	177035612
2010	Bus	3178	466515
2010	Moped	16770	117397
2010	Motor Home	21754	2995420
2010	Motorcycle	170999	2146555
2010	Multi-purpose	803848	156646349
2010	Trailer	701332	18019926
2010	Truck	931732	106361828
2011	Automobile	1467251	182789378
2011	Bus	3452	541656
2011	Moped	17026	119192
2011	Motor Home	21214	2973775
2011	Motorcycle	175944	2153483
2011	Multi-purpose	841110	171522231
2011	Trailer	711817	18417634
2011	Truck	939043	116558218
2012	Automobile	1443087	182312766
2012	Bus	3562	585616
2012	Moped	17653	123580
2012	Motor Home	20933	2979072
2012	Motorcycle	181173	2163444
2012	Multi-purpose	871850	178531892
2012	Trailer	724574	18838669
2012	Truck	940734	125234438
2013	Automobile	1429998	181705893
2013	Bus	3693	665796
2013	Moped	17759	124329
2013	Motor Home	20574	2994726
2013	Motorcycle	185051	2158027
2013	Multi-purpose	909345	185826040
2013	Trailer	738501	19318681
2013	Truck	948424	135110394
2014	Automobile	1411224	180025405
2014	Bus	3501	594516
2014	Moped	17853	124987
2014	Motor Home	20237	3006937
2014	Motorcycle	187405	2149462
2014	Multi-purpose	944294	192074167
2014	Trailer	748480	19696746
2014	Truck	761020	73003586
2015	Automobile	1392647	177732420
2015	Bus	3505	594622
2015	Moped	18176	127246
2015	Motor Home	20168	3061326
2015	Motorcycle	190289	2187812
2015	Multi-purpose	990820	202334101
2015	Trailer	764868	20275175
2015	Truck	734246	69666421
2016	Automobile	1371071	175476829
2016	Bus	3591	619823
2016	Moped	18283	127997
2016	Motor Home	20137	3103831
2016	Motorcycle	192257	2215664
2016	Multi-purpose	1043870	215728175
2016	Trailer	782254	20877908
2016	Truck	709124	66071723
